ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentCategory
51,49,17,14-04-2023,4,Five stars for the quick delivery.,Positive
52,75,11,07-04-2024,4,"I love this product, will buy again!",Positive
53,73,18,28-12-2025,4,Five stars for  the quick delivery.,Positive
54,33,8,03-05-2023,5,"Excellent product, highly recommend!",Positive
55,57,9,03-11-2025,3,Customer support was  very helpful.,Neutral
56,15,10,11-12-2025,3,Shipping was fast and the item was well-packaged.,Neutral
57,41,10,06-04-2024,2,Disappointed with the performance.,Negative
58,78,7,16-07-2024,2,"The product  is okay, but the instructions were unclear.",Negative
59,98,9,01-09-2024,4,The build quality is impressive.,Positive
60,11,16,27-12-2023,4,"Great purchase, very satisfied.",Positive
61,50,19,24-02-2023,4,"Great purchase,  very satisfied.",Positive
62,35,17,18-03-2023,2,"Average experience, nothing special.",Negative
63,93,2,05-01-2025,4,Five stars for the quick delivery.,Positive
64,86,11,30-10-2025,4,Customer support was very helpful.,Positive
65,34,3,15-06-2024,1,Not worth the money.,Negative
66,94,16,17-06-2023,4,"I love this product, will buy  again!",Positive
67,67,13,12-04-2025,3,"Average experience, nothing special.",Neutral
68,38,7,23-03-2023,3,"The product is okay, but the instructions were unclear.",Neutral
69,77,12,03-08-2025,3,Five stars for the quick delivery.,Neutral
70,93,5,30-01-2024,4,Shipping was fast  and the item was well-packaged.,Positive
71,24,11,28-07-2025,3,"Good quality, but could be cheaper.",Neutral
72,29,4,29-05-2023,5,The  build quality is impressive.,Positive
73,68,19,05-05-2025,5,"I love this product, will buy again!",Positive
74,59,9,16-05-2023,3,"The product is okay, but the instructions were unclear.",Neutral
75,22,3,13-01-2024,5,Shipping was fast and the item was well-packaged.,Positive
76,9,10,31-08-2025,4,"Great purchase, very satisfied.",Positive
77,74,5,15-03-2023,4,"Great purchase,  very satisfied.",Positive
78,6,10,09-12-2024,5,Five stars for the quick delivery.,Positive
79,84,15,28-05-2024,2,The product arrived  late.,Negative
80,98,16,24-05-2025,3,Not worth the money.,Neutral
81,3,19,04-09-2024,4,Five stars for the quick delivery.,Positive
82,78,13,02-05-2023,4,Shipping  was fast and the item was well-packaged.,Positive
83,32,11,26-05-2025,4,The quality is  top-notch.,Positive
84,40,20,17-07-2023,4,"Good quality, but could be cheaper.",Positive
85,17,6,25-10-2025,5,Five stars for the quick delivery.,Positive
86,78,3,06-10-2025,5,"Excellent product, highly recommend!",Positive
87,89,17,26-05-2023,3,Not  worth the money.,Neutral
88,93,19,26-08-2025,4,Exceeded my expectations!,Positive
89,60,3,08-07-2024,3,The quality is top-notch.,Neutral
90,47,17,12-11-2025,4,Five stars for the quick delivery.,Positive
91,4,16,27-09-2025,3,"Great purchase, very satisfied.",Neutral
92,2,16,21-11-2023,3,Not worth the money.,Neutral
93,60,13,05-09-2024,3,Not worth the money.,Neutral
94,2,16,14-03-2025,4,The quality is top-notch.,Positive
95,16,16,07-04-2024,4,Shipping was fast and the item was well-packaged.,Positive
96,19,13,02-09-2023,3,"Good quality, but could be cheaper.",Neutral
97,64,6,19-01-2024,3,"The product is okay, but the instructions were unclear.",Neutral
98,96,3,20-11-2025,5,Exceeded my expectations!,Positive
99,79,16,29-01-2025,2,"Average experience, nothing special.",Negative
100,9,2,20-06-2025,3,Not worth the money.,Neutral
101,61,18,11-09-2024,5,The build quality is impressive.,Positive
102,4,2,22-08-2025,5,"Excellent product, highly recommend!",Positive
103,82,14,17-11-2024,5,The quality is top-notch.,Positive
104,96,5,06-01-2023,4,"I love  this product, will buy again!",Positive
105,32,12,27-08-2024,2,The product  arrived late.,Negative
106,94,17,25-02-2024,2,"Average experience, nothing special.",Negative
107,26,10,17-02-2025,5,Five stars for  the quick delivery.,Positive
108,80,17,22-12-2023,5,Five stars for the  quick delivery.,Positive
109,38,10,25-07-2023,4,Customer support was very helpful.,Positive
110,54,12,02-08-2024,4,Customer  support was very helpful.,Positive
111,43,7,05-11-2023,4,Five stars for the quick delivery.,Positive
112,87,3,26-05-2023,5,"Excellent product, highly recommend!",Positive
113,27,9,31-03-2024,2,Disappointed with the performance.,Negative
114,52,19,04-05-2025,2,"Average experience, nothing special.",Negative
115,82,9,28-09-2023,4,Five stars for the quick delivery.,Positive
116,70,18,23-07-2023,4,The quality is top-notch.,Positive
117,20,14,19-04-2025,4,Customer support was very helpful.,Positive
118,59,6,01-05-2024,1,The product arrived late.,Negative
119,34,5,06-09-2025,4,"Great purchase, very  satisfied.",Positive
120,3,20,18-08-2024,4,The quality is top-notch.,Positive
121,91,1,02-11-2025,2,"Good quality, but could be cheaper.",Negative
122,83,14,27-09-2024,2,Not worth the money.,Negative
123,93,1,22-09-2025,4,"Good quality, but could be cheaper.",Positive
124,36,16,17-07-2023,5,Customer support was very helpful.,Positive
125,55,11,20-12-2025,5,"I love this product, will buy again!",Positive
126,32,10,12-08-2024,5,Exceeded my expectations!,Positive
127,47,8,25-03-2025,4,"Great purchase, very satisfied.",Positive
128,71,20,13-12-2023,2,"Average experience, nothing special.",Negative
129,46,13,14-02-2025,4,"Good quality, but could be cheaper.",Positive
130,88,3,22-09-2025,5,"Great  purchase, very satisfied.",Positive
131,42,5,16-06-2023,5,Amazing value for the price.,Positive
132,21,7,13-11-2025,2,Product did not meet my expectations.,Negative
133,40,4,24-05-2025,4,The quality is top-notch.,Positive
134,74,4,27-03-2024,3,"Good quality, but could  be cheaper.",Neutral
135,48,14,08-06-2023,4,"I love this product, will buy again!",Positive
136,17,3,27-03-2025,5,Amazing value for  the price.,Positive
137,88,6,02-03-2023,4,"Good quality, but could  be cheaper.",Positive
138,28,15,18-01-2023,5,Five stars for the quick delivery.,Positive
139,36,16,20-04-2023,4,Customer support was very helpful.,Positive
140,53,18,03-12-2023,3,"Good quality, but could be cheaper.",Neutral
141,98,9,15-10-2024,5,Amazing value for the  price.,Positive
142,15,7,04-08-2023,5,"Excellent product, highly recommend!",Positive
143,3,12,12-04-2023,3,"Average experience, nothing special.",Neutral
144,27,15,16-08-2025,4,The build quality is impressive.,Positive
145,27,10,05-03-2024,3,"The  product is okay, but the instructions were unclear.",Neutral
146,5,13,09-01-2025,4,"I love this product, will buy again!",Positive
147,100,20,25-01-2025,2,"Average experience, nothing special.",Negative
148,17,18,05-11-2024,1,"Average experience, nothing special.",Negative
149,50,3,20-12-2023,4,The quality is top-notch.,Positive
150,4,15,18-06-2024,5,"I love this product, will buy  again!",Positive
151,21,19,30-10-2023,3,"Good quality, but could be cheaper.",Neutral
152,32,16,15-12-2025,3,"Good quality, but  could be cheaper.",Neutral
153,95,11,06-11-2023,5,Amazing value for the price.,Positive
154,3,12,19-12-2023,4,The quality is top-notch.,Positive
155,89,3,10-12-2025,4,Customer support was very helpful.,Positive
156,5,7,26-01-2025,5,The build quality is impressive.,Positive
157,10,17,14-10-2025,2,The product arrived late.,Negative
158,37,2,16-04-2024,5,"Great purchase, very satisfied.",Positive
159,23,12,01-09-2023,5,"I love this product,  will buy again!",Positive
160,71,9,02-01-2024,2,Not worth the money.,Negative
161,9,18,05-08-2025,2,The product arrived  late.,Negative
162,64,20,25-07-2023,3,"Average experience, nothing special.",Neutral
163,89,7,27-05-2023,5,The quality is top-notch.,Positive
164,25,19,16-03-2024,2,Product did not  meet my expectations.,Negative
165,97,3,03-06-2025,4,The quality is top-notch.,Positive
166,87,3,01-11-2023,3,"Good  quality, but could be cheaper.",Neutral
167,28,16,02-08-2023,2,Product did not meet  my expectations.,Negative
168,72,2,13-12-2025,3,Customer support was very helpful.,Neutral
169,26,8,28-09-2025,5,Five stars for the quick  delivery.,Positive
170,53,13,23-06-2024,5,The build quality is impressive.,Positive
171,2,16,16-02-2024,3,Not worth the money.,Neutral
172,79,2,23-11-2024,3,Not worth the money.,Neutral
173,15,16,30-05-2025,5,Customer support was very helpful.,Positive
174,91,8,23-06-2024,4,"I love this product, will buy again!",Positive
175,3,6,02-11-2024,3,"Good quality, but could be cheaper.",Neutral
176,21,11,23-11-2023,3,"The product is okay, but the instructions were unclear.",Neutral
177,93,19,03-07-2025,4,"I love this product, will buy again!",Positive
178,17,20,25-05-2025,4,The quality is  top-notch.,Positive
179,46,20,26-11-2025,4,"Great purchase, very satisfied.",Positive
180,77,5,08-03-2023,4,"Great purchase,  very satisfied.",Positive
181,4,3,09-08-2024,4,The build quality is impressive.,Positive
182,21,11,08-03-2024,5,"Excellent product, highly recommend!",Positive
183,13,5,08-06-2025,4,"Great purchase, very satisfied.",Positive
184,59,5,29-12-2024,4,Shipping was fast and the item was well-packaged.,Positive
185,8,6,13-11-2023,2,Product did not meet my expectations.,Negative
186,22,13,17-02-2023,4,The quality is top-notch.,Positive
187,58,18,01-05-2025,4,The quality is top-notch.,Positive
188,70,5,19-09-2025,5,Exceeded my expectations!,Positive
189,83,7,13-03-2025,2,The product  arrived late.,Negative
190,83,3,10-08-2023,3,"Good quality, but could be cheaper.",Neutral
191,68,3,05-09-2024,4,"Great purchase,  very satisfied.",Positive
192,42,17,04-08-2023,5,"Excellent product, highly recommend!",Positive
193,84,20,21-06-2024,3,"The product is okay, but the instructions were  unclear.",Neutral
194,7,7,19-05-2025,1,The product arrived late.,Negative
195,75,5,25-10-2023,5,Amazing value for the price.,Positive
196,91,2,29-10-2023,3,"Average experience, nothing special.",Neutral
197,51,15,27-11-2024,4,"I love this product,  will buy again!",Positive
198,57,8,27-08-2023,5,Five stars for the quick delivery.,Positive
199,6,13,20-08-2024,5,The  quality is top-notch.,Positive
200,30,17,09-01-2025,3,"Good quality, but could be cheaper.",Neutral
201,59,6,23-05-2023,2,Not worth the money.,Negative
202,33,9,06-09-2023,5,Amazing value for the price.,Positive
203,66,18,22-11-2023,3,"Average experience, nothing special.",Neutral
204,95,14,29-11-2024,4,"Great purchase, very  satisfied.",Positive
205,88,12,06-04-2023,5,Amazing value for the price.,Positive
206,72,14,22-08-2023,4,Shipping was fast and the item was well-packaged.,Positive
207,95,18,07-06-2025,4,"I love this product, will buy again!",Positive
208,94,8,25-03-2023,4,"Great purchase, very satisfied.",Positive
209,70,8,05-11-2025,3,"Average experience, nothing special.",Neutral
210,28,1,10-12-2023,2,The product arrived late.,Negative
211,84,12,07-03-2025,4,Five stars for the quick delivery.,Positive
212,87,10,03-01-2023,1,"Terrible customer service, would not buy again.",Negative
213,7,13,09-04-2024,5,Shipping was fast and  the item was well-packaged.,Positive
214,53,18,13-04-2025,3,Five stars for the quick delivery.,Neutral
215,55,10,07-01-2024,2,Product did not meet my expectations.,Negative
216,49,7,14-11-2023,3,"The product is okay, but the instructions were unclear.",Neutral
217,62,11,19-08-2023,5,Amazing value  for the price.,Positive
218,35,8,14-09-2024,4,The quality is top-notch.,Positive
219,90,9,18-02-2023,4,Five stars for the quick delivery.,Positive
220,78,9,12-08-2025,2,Disappointed with the performance.,Negative
221,26,2,21-10-2024,4,The build quality is impressive.,Positive
222,54,14,28-02-2024,5,Customer support was very helpful.,Positive
223,37,16,31-07-2023,5,Exceeded my expectations!,Positive
224,68,15,27-03-2023,4,"Great purchase,  very satisfied.",Positive
225,80,1,08-09-2025,3,"The product is okay, but the instructions were unclear.",Neutral
226,60,9,23-08-2023,2,The product arrived late.,Negative
227,74,11,10-08-2024,4,"Good  quality, but could be cheaper.",Positive
228,20,19,23-10-2025,2,"The product is okay, but the instructions were unclear.",Negative
229,69,12,07-02-2023,4,The  quality is top-notch.,Positive
230,54,11,19-10-2023,2,The product arrived late.,Negative
231,15,16,15-04-2025,5,Five stars for the quick delivery.,Positive
232,17,3,11-10-2025,5,Five stars for the quick delivery.,Positive
233,81,4,14-11-2024,2,The product arrived late.,Negative
234,80,9,06-03-2023,5,The build quality is impressive.,Positive
235,54,3,18-03-2024,4,Customer support was very helpful.,Positive
236,55,16,03-03-2025,5,"Great purchase, very satisfied.",Positive
237,44,2,29-09-2025,4,The quality is top-notch.,Positive
238,47,9,18-04-2023,4,"Great purchase, very satisfied.",Positive
239,45,9,28-01-2024,5,Exceeded my expectations!,Positive
240,20,16,09-11-2024,5,Five stars for the quick delivery.,Positive
241,61,15,22-04-2024,4,Five stars for the quick delivery.,Positive
242,20,20,07-06-2025,4,The quality is top-notch.,Positive
243,24,11,17-02-2023,1,I had a bad experience with this product.,Negative
244,36,4,25-08-2023,4,"Great purchase, very satisfied.",Positive
245,50,3,23-03-2023,3,"Good quality, but could be cheaper.",Neutral
246,71,12,23-07-2023,4,The  quality is top-notch.,Positive
247,28,6,24-11-2025,5,"Excellent product, highly  recommend!",Positive
248,81,6,15-07-2023,3,"Good quality, but could be cheaper.",Neutral
249,75,2,04-01-2023,1,"Not  satisfied, the product broke after a week.",Negative
250,22,11,21-09-2023,1,The product stopped working after a month.,Negative
251,16,2,01-02-2024,4,"Good quality, but could be cheaper.",Positive
252,6,6,18-03-2025,5,The build quality is  impressive.,Positive
253,75,15,03-08-2024,3,"Great purchase, very satisfied.",Neutral
254,30,19,31-12-2025,3,"Average experience, nothing special.",Neutral
255,13,16,23-01-2024,5,"I love this product, will buy again!",Positive
256,91,3,11-02-2024,4,"Good quality, but could be cheaper.",Positive
257,84,13,03-10-2023,3,"Average experience, nothing  special.",Neutral
258,34,7,13-05-2025,4,"Great  purchase, very satisfied.",Positive
259,75,2,24-08-2023,3,"The product is okay, but the instructions were unclear.",Neutral
260,44,18,07-03-2024,3,"Average experience, nothing special.",Neutral
261,29,12,15-10-2024,4,Customer support was very helpful.,Positive
262,45,7,07-07-2024,5,Five stars for  the quick delivery.,Positive
263,47,8,21-10-2024,4,Customer support was very helpful.,Positive
264,96,18,19-08-2025,4,Shipping was fast and the  item was well-packaged.,Positive
265,22,19,14-05-2024,4,"I love this product, will buy again!",Positive
266,62,5,22-02-2025,5,"Excellent product,  highly recommend!",Positive
267,55,19,01-12-2023,3,"The product is  okay, but the instructions were unclear.",Neutral
268,98,17,28-10-2023,5,The build quality  is impressive.,Positive
269,75,4,18-11-2023,4,The quality is top-notch.,Positive
270,46,6,25-09-2023,1,The color was different from what was shown.,Negative
271,21,17,08-08-2025,5,The  build quality is impressive.,Positive
272,39,17,26-03-2023,5,Shipping was fast and the item was well-packaged.,Positive
273,10,2,09-10-2024,5,Shipping was fast and the item was well-packaged.,Positive
274,93,11,07-04-2023,5,"I love this product, will buy again!",Positive
275,45,12,03-04-2023,4,Five stars for the quick delivery.,Positive
276,86,1,29-01-2025,5,The quality is top-notch.,Positive
277,22,6,21-03-2025,4,The quality is top-notch.,Positive
278,80,20,01-03-2023,5,Amazing value for the price.,Positive
279,86,5,21-07-2023,5,Customer support was very helpful.,Positive
280,68,19,09-11-2023,4,"Good quality, but could be cheaper.",Positive
281,71,5,19-11-2025,4,"I love this product, will buy again!",Positive
282,59,5,17-02-2023,3,"Average experience, nothing special.",Neutral
283,87,13,14-02-2023,5,"I love this product, will buy again!",Positive
284,89,13,01-09-2023,4,"Great purchase, very satisfied.",Positive
285,29,3,25-08-2023,4,"Good quality, but could  be cheaper.",Positive
286,53,16,04-05-2023,5,"I love this product, will buy again!",Positive
287,75,6,14-02-2025,5,"I love this product, will  buy again!",Positive
288,68,17,21-06-2024,5,"Excellent product, highly recommend!",Positive
289,87,15,04-10-2023,5,Customer support was  very helpful.,Positive
290,20,14,23-09-2024,2,"Average experience, nothing special.",Negative
291,17,7,06-12-2025,5,"I love this product, will buy again!",Positive
292,15,7,19-10-2025,5,Customer support was very helpful.,Positive
293,25,13,14-02-2023,3,Not worth  the money.,Neutral
294,63,13,09-11-2023,3,Not worth the money.,Neutral
295,61,6,13-10-2024,3,"The product is okay, but the instructions were unclear.",Neutral
296,85,18,13-12-2023,4,The  quality is top-notch.,Positive
297,92,16,06-08-2023,3,"Average experience, nothing special.",Neutral
298,41,15,13-06-2025,4,Five stars for the quick delivery.,Positive
299,93,13,01-02-2024,1,Product did not meet my expectations.,Negative
300,22,18,09-05-2023,2,Disappointed with the performance.,Negative
301,6,7,30-05-2023,4,"I love this product, will buy again!",Positive
302,64,19,08-10-2024,5,The quality is top-notch.,Positive
303,20,10,25-04-2024,4,"Great purchase, very satisfied.",Positive
304,66,14,01-02-2023,3,"Average  experience, nothing special.",Neutral
305,87,7,25-08-2023,4,Customer support was very helpful.,Positive
306,52,8,19-07-2025,3,"Average experience, nothing special.",Neutral
307,63,16,08-01-2025,5,Exceeded my expectations!,Positive
308,90,14,02-04-2023,5,Shipping was fast and the item was well-packaged.,Positive
309,70,11,02-02-2023,3,"Good quality, but could be cheaper.",Neutral
310,40,1,30-11-2024,5,Exceeded my expectations!,Positive
311,52,11,14-11-2023,4,Shipping was fast and the item was well-packaged.,Positive
312,90,3,05-11-2023,2,The product arrived late.,Negative
313,13,3,14-01-2024,4,"I  love this product, will buy again!",Positive
314,22,17,06-10-2025,2,Product did not meet my expectations.,Negative
315,32,7,13-06-2025,4,The quality is top-notch.,Positive
316,48,4,15-08-2025,5,Five stars for the quick  delivery.,Positive
317,15,6,04-08-2023,3,"The product is okay, but the instructions were unclear.",Neutral
318,97,4,15-12-2023,4,"Good quality, but could be cheaper.",Positive
319,86,6,11-12-2024,5,Shipping was fast and the item was well-packaged.,Positive
320,79,17,24-02-2023,4,The quality is top-notch.,Positive
321,58,12,17-04-2024,4,"Good quality, but could be cheaper.",Positive
322,76,13,01-12-2024,4,"Great  purchase, very satisfied.",Positive
323,47,4,24-04-2023,4,Shipping was  fast and the item was well-packaged.,Positive
324,89,5,08-07-2024,4,Shipping was fast and the item  was well-packaged.,Positive
325,78,6,17-04-2023,4,"Good quality, but could be cheaper.",Positive
326,17,14,15-06-2024,4,The quality is top-notch.,Positive
327,95,8,25-08-2023,4,The quality is top-notch.,Positive
328,100,13,20-02-2024,2,Not worth the money.,Negative
329,6,9,07-12-2024,3,The quality is top-notch.,Neutral
330,22,14,18-03-2023,4,The quality is top-notch.,Positive
331,68,4,17-08-2023,5,"I love this product, will buy again!",Positive
332,2,10,06-11-2024,5,The build quality is impressive.,Positive
333,87,5,02-06-2024,4,"I love this product, will buy again!",Positive
334,70,9,14-04-2025,5,Five stars for the quick  delivery.,Positive
335,75,14,12-03-2024,5,"Great purchase, very satisfied.",Positive
336,8,8,07-02-2024,2,The product arrived late.,Negative
337,32,19,22-05-2024,3,"The product is okay, but the instructions were unclear.",Neutral
338,98,4,22-01-2023,2,The product arrived late.,Negative
339,38,2,11-01-2025,5,Exceeded my  expectations!,Positive
340,95,17,16-09-2025,5,"I love this product, will buy again!",Positive
341,62,3,04-11-2024,2,Not worth the money.,Negative
342,19,4,15-06-2025,4,The build quality is impressive.,Positive
343,84,4,13-04-2025,3,"Average experience, nothing special.",Neutral
344,21,10,02-11-2025,3,Not worth the money.,Neutral
345,48,4,24-07-2024,4,"I love this product, will buy again!",Positive
346,84,15,27-06-2025,5,The build quality is impressive.,Positive
347,75,16,19-08-2025,1,Disappointed  with the performance.,Negative
348,52,13,05-03-2024,2,Not worth the money.,Negative
349,26,11,19-11-2024,3,"I love this product, will buy again!",Neutral
350,57,6,22-08-2025,3,Not  worth the money.,Neutral
351,55,5,02-05-2023,3,"The product is okay, but  the instructions were unclear.",Neutral
352,43,11,22-12-2025,3,"Average experience, nothing special.",Neutral
353,36,15,08-09-2025,5,"Great  purchase, very satisfied.",Positive
354,50,18,03-01-2024,2,"Average experience, nothing special.",Negative
355,59,9,04-03-2024,2,"Average experience, nothing special.",Negative
356,86,14,23-11-2023,1,The product arrived late.,Negative
357,1,3,01-04-2024,4,Five stars for the quick delivery.,Positive
358,13,15,20-11-2023,3,"Average experience, nothing special.",Neutral
359,79,15,04-05-2024,5,Amazing value for the price.,Positive
360,33,15,09-09-2025,5,"Excellent product, highly recommend!",Positive
361,71,7,12-02-2024,5,"Excellent product, highly recommend!",Positive
362,33,11,11-02-2024,3,"The product is okay, but the instructions were unclear.",Neutral
363,17,15,15-04-2025,4,"Good quality, but could be cheaper.",Positive
364,46,8,26-04-2024,5,The build quality is impressive.,Positive
365,90,20,24-10-2025,3,"Good quality, but could be  cheaper.",Neutral
366,46,7,14-11-2023,5,Shipping was fast and the item was well-packaged.,Positive
367,96,1,02-07-2024,3,Not worth the  money.,Neutral
368,34,8,11-05-2025,1,"Not satisfied, the product broke after a week.",Negative
369,48,4,19-12-2024,4,Customer support was very helpful.,Positive
370,73,6,13-04-2023,4,The quality is top-notch.,Positive
371,29,1,20-01-2024,2,Product did not meet my expectations.,Negative
372,91,6,10-05-2023,4,"I love this product, will  buy again!",Positive
373,92,14,12-07-2025,1,"Average experience, nothing special.",Negative
374,89,12,08-02-2023,1,The product  stopped working after a month.,Negative
375,73,4,16-12-2024,5,The build quality is impressive.,Positive
376,38,6,03-07-2023,3,"Good quality,  but could be cheaper.",Neutral
377,77,4,29-11-2023,5,"Excellent product, highly recommend!",Positive
378,64,9,20-03-2024,2,The product arrived  late.,Negative
379,62,4,27-01-2023,5,The  quality is top-notch.,Positive
380,52,4,23-02-2024,4,"I love  this product, will buy again!",Positive
381,45,4,24-01-2024,3,"Good quality, but  could be cheaper.",Neutral
382,38,7,03-09-2023,4,"Good quality,  but could be cheaper.",Positive
383,54,13,05-09-2024,5,Amazing value for the price.,Positive
384,20,3,04-06-2025,3,Not worth the money.,Neutral
385,81,5,09-06-2023,4,Five stars for the quick delivery.,Positive
386,86,5,09-04-2024,3,"Good quality, but could be cheaper.",Neutral
387,42,14,29-03-2025,5,Shipping was fast and the  item was well-packaged.,Positive
388,99,1,10-12-2025,1,Disappointed with the performance.,Negative
389,14,2,14-09-2024,5,"Excellent product, highly recommend!",Positive
390,30,10,22-05-2023,3,"Good quality, but could be cheaper.",Neutral
391,98,20,05-01-2024,3,"Average experience, nothing special.",Neutral
392,93,11,29-06-2023,5,Amazing value for the price.,Positive
393,6,20,18-04-2024,2,Product did not meet my expectations.,Negative
394,7,4,19-10-2024,3,"The product is okay, but the instructions were unclear.",Neutral
395,35,9,12-04-2025,4,The quality is top-notch.,Positive
396,75,6,12-09-2025,3,"Good  quality, but could be cheaper.",Neutral
397,11,14,23-04-2024,4,The quality is top-notch.,Positive
398,17,7,02-09-2023,5,"I love this product, will buy again!",Positive
399,68,1,21-07-2024,3,"Average experience, nothing special.",Neutral
400,42,10,30-06-2023,3,Not worth the money.,Neutral
401,93,18,13-04-2024,4,"Good quality, but could be cheaper.",Positive
402,68,12,16-12-2025,4,The build quality is impressive.,Positive
403,53,14,18-06-2023,3,"Good quality, but  could be cheaper.",Neutral
404,90,7,04-06-2025,4,The quality is top-notch.,Positive
405,43,4,10-09-2025,5,Exceeded my  expectations!,Positive
406,11,9,15-12-2025,5,Exceeded my expectations!,Positive
407,79,11,12-01-2023,2,Disappointed with the  performance.,Negative
408,17,4,12-12-2023,5,The build quality is impressive.,Positive
409,59,19,22-02-2023,5,"I love this product, will buy  again!",Positive
410,83,1,11-01-2023,1,Product did not meet my expectations.,Negative
411,32,15,05-03-2023,3,"The product is okay, but the  instructions were unclear.",Neutral
412,83,7,10-05-2024,4,Customer support was very helpful.,Positive
413,60,12,24-08-2023,5,The build quality is impressive.,Positive
414,59,14,31-07-2025,4,"I love this product, will buy again!",Positive
415,97,8,04-06-2025,2,Disappointed with the  performance.,Negative
416,15,17,19-04-2023,5,The quality is top-notch.,Positive
417,9,16,28-11-2024,3,Not worth the money.,Neutral
418,94,2,02-03-2025,1,"Not satisfied, the product broke after a  week.",Negative
419,68,6,01-09-2025,1,The color was different from what was shown.,Negative
420,18,11,10-06-2023,5,"I love this  product, will buy again!",Positive
421,75,13,18-08-2025,5,The quality is top-notch.,Positive
422,81,17,30-09-2025,4,The quality is top-notch.,Positive
423,76,18,01-08-2023,2,Product did not meet my expectations.,Negative
424,53,11,21-03-2024,4,Customer support was very helpful.,Positive
425,89,6,04-03-2025,2,Not worth the money.,Negative
426,74,17,07-04-2024,4,Shipping was fast and the item was well-packaged.,Positive
427,81,11,20-08-2025,4,Five stars for the quick delivery.,Positive
428,58,9,17-01-2025,5,The build  quality is impressive.,Positive
429,71,2,08-06-2023,4,Customer  support was very helpful.,Positive
430,99,9,03-08-2025,2,"Average experience, nothing special.",Negative
431,94,11,10-02-2023,3,Not worth the money.,Neutral
432,31,18,14-02-2025,4,"I love this product, will buy again!",Positive
433,72,2,11-06-2025,5,The quality is top-notch.,Positive
434,7,18,25-02-2023,5,"Great purchase, very satisfied.",Positive
435,65,1,28-02-2023,5,Amazing value for the price.,Positive
436,11,1,03-01-2024,4,Shipping was fast  and the item was well-packaged.,Positive
437,73,4,24-06-2023,5,"Excellent product, highly recommend!",Positive
